"","x"
"obj_MinorAxisLength_kurtosis",2.21102705095
"obj_MinorAxisLength_mean",17.2058338369
"obj_MinorAxisLength_median",4.97844443671
"obj_MinorAxisLength_quantile025",1.71083066621
"obj_MinorAxisLength_quantile250",3.4685877867
"obj_MinorAxisLength_quantile750",8.41475335288
"obj_MinorAxisLength_quantile975",18.4309508528
"obj_MinorAxisLength_skewness",0.853605153693
"obj_MinorAxisLength_std",58.7053290883
"obj_Orientation_kurtosis",1.31611942797
"obj_Orientation_mean",-33.9158419733
"obj_Orientation_median",-76.1732787762
"obj_Orientation_quantile025",-90
"obj_Orientation_quantile250",-87.8695241471
"obj_Orientation_quantile750",-13.4227374603
"obj_Orientation_quantile975",20.5026054711
"obj_Orientation_skewness",-2.82596613987
"obj_Orientation_std",15.103924008
"obj_Perimeter_kurtosis",2.56007085264
"obj_Perimeter_mean",104.477895099
"obj_Perimeter_median",21.5563491861
"obj_Perimeter_quantile025",9.37401153702
"obj_Perimeter_quantile250",12.4852813742
"obj_Perimeter_quantile750",42.2842712475
"obj_Perimeter_quantile975",174.615007051
"obj_Perimeter_skewness",1.06161649856
"obj_Perimeter_std",645.885920287
"obj_phase_congruency_ft_kurtosis",1.62954303565
"obj_phase_congruency_ft_mean",-0.22945510641
"obj_phase_congruency_ft_median",-0.363127314733
"obj_phase_congruency_ft_quantile025",-1.43638007574
"obj_phase_congruency_ft_quantile250",-0.949303863479
"obj_phase_congruency_ft_quantile750",0.459277289597
"obj_phase_congruency_ft_quantile975",1.32536806865
"obj_phase_congruency_ft_skewness",-0.201616491039
"obj_phase_congruency_ft_std",0.792806719351
"obj_phase_congruency_max_moment_kurtosis",6.94754383746
"obj_phase_congruency_max_moment_mean",0.00587823037098
"obj_phase_congruency_max_moment_median",5e-05
"obj_phase_congruency_max_moment_quantile025",5e-05
"obj_phase_congruency_max_moment_quantile250",5e-05
"obj_phase_congruency_max_moment_quantile750",0.00320155759818
"obj_phase_congruency_max_moment_quantile975",0.0491788189615
"obj_phase_congruency_max_moment_skewness",1.78055825289
"obj_phase_congruency_max_moment_std",0.0167080138535
"obj_phase_congruency_min_moment_kurtosis",19.9637528368
"obj_phase_congruency_min_moment_mean",0.000482400349356
"obj_phase_congruency_min_moment_median",-5e-05
"obj_phase_congruency_min_moment_quantile025",-5e-05
"obj_phase_congruency_min_moment_quantile250",-5e-05
"obj_phase_congruency_min_moment_quantile750",-4.96579671129e-05
"obj_phase_congruency_min_moment_quantile975",0.00517646310816
"obj_phase_congruency_min_moment_skewness",3.42562104985
"obj_phase_congruency_min_moment_std",0.00229229461933
"obj_phase_congruency_orientation_kurtosis",1.37695984311
"obj_phase_congruency_orientation_mean",75.2327083506
"obj_phase_congruency_orientation_median",63
"obj_phase_congruency_orientation_quantile025",1
"obj_phase_congruency_orientation_quantile250",25
"obj_phase_congruency_orientation_quantile750",107
"obj_phase_congruency_orientation_quantile975",170
"obj_phase_congruency_orientation_skewness",-0.454688250896
"obj_phase_congruency_orientation_std",38.8291606703
"obj_Solidity_kurtosis",1.71011724835
"obj_Solidity_mean",0.66817686883
"obj_Solidity_median",0.66091954023
"obj_Solidity_quantile025",0.162168378051
"obj_Solidity_quantile250",0.54300472255
"obj_Solidity_quantile750",0.759034493875
"obj_Solidity_quantile975",0.858396129952
"obj_Solidity_skewness",-2.16213018054
"obj_Solidity_std",0.0994727857732
"obj_WeightedCentroid_kurtosis",1
"obj_WeightedCentroid_mean",0
"obj_WeightedCentroid_median",0
"obj_WeightedCentroid_quantile025",2.64877366609
"obj_WeightedCentroid_quantile250",7.09215017065
"obj_WeightedCentroid_quantile750",169.276923077
"obj_WeightedCentroid_quantile975",500.553024564
"obj_WeightedCentroid_skewness",-2.2706109434
"obj_WeightedCentroid_std",0
"phase_congruency_noise_thresh",5.58030531903e-06
"texture_autoc_1",3.93242493242
"texture_autoc_2",3.94255894256
"texture_contr_1",0.168875168875
"texture_contr_2",0.169812169812
"texture_corrm_1",0.306179847384
"texture_corrm_2",0.313895982274
"texture_corrp_1",0.306179847384
"texture_corrp_2",0.313895982274
"texture_cprom_1",131.783015397
"texture_cprom_2",129.695215168
"texture_cshad_1",-120.400322628
"texture_cshad_2",-120.273042625
"texture_denth_1",0.376926395801
"texture_denth_2",0.374489834487
"texture_dissi_1",0.119157119157
"texture_dissi_2",0.118262118262
"texture_dvarh_1",0.168875168875
"texture_dvarh_2",0.169812169812
"texture_energ_1",0.0250147442845
"texture_energ_2",0.0259927415165
"texture_entro_1",1.17265248808
"texture_entro_2",1.17170643735
"texture_homom_1",0.515266096218
"texture_homom_2",0.509105715058
"texture_homop_1",0.456387515563
"texture_homop_2",0.447877635122
"texture_idmnc_1",0.948447865019
"texture_idmnc_2",0.942920067018
"texture_indnc_1",0.854542435073
"texture_indnc_2",0.849001861389
"texture_inf1h_1",-0.755200606129
"texture_inf1h_2",-0.76730848704
"texture_inf2h_1",0.310977541024
"texture_inf2h_2",0.316845644969
"texture_maxpr_1",0.043519043519
"texture_maxpr_2",0.044856044856
"texture_savgh_1",3.01601601602
"texture_savgh_2",3.01925701926
"texture_senth_1",1.06682803074
"texture_senth_2",1.06577696759
"texture_sosvh_1",3.97092998631
"texture_sosvh_2",3.98048274586
"texture_svarh_1",10.6015560917
"texture_svarh_2",10.640219304
