"","x"
"obj_MinorAxisLength_kurtosis",243.835549665
"obj_MinorAxisLength_mean",211.175694879
"obj_MinorAxisLength_median",40.1689750952
"obj_MinorAxisLength_quantile025",5.92099671951
"obj_MinorAxisLength_quantile250",10.6238980137
"obj_MinorAxisLength_quantile750",482.066313229
"obj_MinorAxisLength_quantile975",1153.22448254
"obj_MinorAxisLength_skewness",14.5542621397
"obj_MinorAxisLength_std",341.357770972
"obj_Orientation_kurtosis",16.6093565771
"obj_Orientation_mean",33.3353815489
"obj_Orientation_median",72.7745983856
"obj_Orientation_quantile025",-48.8998502891
"obj_Orientation_quantile250",10.0589984141
"obj_Orientation_quantile750",88.5247754632
"obj_Orientation_quantile975",90
"obj_Orientation_skewness",1.48296738424
"obj_Orientation_std",74.5012520246
"obj_Perimeter_kurtosis",255.067288463
"obj_Perimeter_mean",1387.90279144
"obj_Perimeter_median",269.11626971
"obj_Perimeter_quantile025",48.5269119346
"obj_Perimeter_quantile250",82.6898628385
"obj_Perimeter_quantile750",2523.39819511
"obj_Perimeter_quantile975",12888.7611786
"obj_Perimeter_skewness",15.0937716993
"obj_Perimeter_std",3228.39647207
"obj_phase_congruency_ft_kurtosis",2.1496097333
"obj_phase_congruency_ft_mean",0.118963097347
"obj_phase_congruency_ft_median",0.218859650039
"obj_phase_congruency_ft_quantile025",-1.36168566681
"obj_phase_congruency_ft_quantile250",-0.569231781498
"obj_phase_congruency_ft_quantile750",0.926312082289
"obj_phase_congruency_ft_quantile975",1.4401687199
"obj_phase_congruency_ft_skewness",0.341847377126
"obj_phase_congruency_ft_std",0.918130993373
"obj_phase_congruency_max_moment_kurtosis",97.3535566632
"obj_phase_congruency_max_moment_mean",0.0547679413038
"obj_phase_congruency_max_moment_median",0.0238602365559
"obj_phase_congruency_max_moment_quantile025",5e-05
"obj_phase_congruency_max_moment_quantile250",0.00728629255457
"obj_phase_congruency_max_moment_quantile750",0.0772504826534
"obj_phase_congruency_max_moment_quantile975",0.343701725251
"obj_phase_congruency_max_moment_skewness",7.76693012043
"obj_phase_congruency_max_moment_std",0.097536442984
"obj_phase_congruency_min_moment_kurtosis",324.495182987
"obj_phase_congruency_min_moment_mean",0.015996287041
"obj_phase_congruency_min_moment_median",0.00278104017257
"obj_phase_congruency_min_moment_quantile025",-5e-05
"obj_phase_congruency_min_moment_quantile250",0.000372140740851
"obj_phase_congruency_min_moment_quantile750",0.0142376227991
"obj_phase_congruency_min_moment_quantile975",0.131831608096
"obj_phase_congruency_min_moment_skewness",14.0177553896
"obj_phase_congruency_min_moment_std",0.0379340252159
"obj_phase_congruency_orientation_kurtosis",2.91350386621
"obj_phase_congruency_orientation_mean",101.28298375
"obj_phase_congruency_orientation_median",109
"obj_phase_congruency_orientation_quantile025",10
"obj_phase_congruency_orientation_quantile250",72
"obj_phase_congruency_orientation_quantile750",158
"obj_phase_congruency_orientation_quantile975",179
"obj_phase_congruency_orientation_skewness",0.554689298813
"obj_phase_congruency_orientation_std",64.5288785892
"obj_Solidity_kurtosis",10.5123065942
"obj_Solidity_mean",0.925090165818
"obj_Solidity_median",0.961538461538
"obj_Solidity_quantile025",0.673554233007
"obj_Solidity_quantile250",0.898148148148
"obj_Solidity_quantile750",1
"obj_Solidity_quantile975",1
"obj_Solidity_skewness",0.607916359014
"obj_Solidity_std",0.223413498333
"obj_WeightedCentroid_kurtosis",8.1425185705
"obj_WeightedCentroid_mean",0
"obj_WeightedCentroid_median",0
"obj_WeightedCentroid_quantile025",500.252539427
"obj_WeightedCentroid_quantile250",796.511260705
"obj_WeightedCentroid_quantile750",994.3
"obj_WeightedCentroid_quantile975",999.880252026
"obj_WeightedCentroid_skewness",2.14739920676
"obj_WeightedCentroid_std",0
"phase_congruency_noise_thresh",0.125350915428
"texture_autoc_1",40.1374881375
"texture_autoc_2",40.1248321248
"texture_contr_1",3.87971387971
"texture_contr_2",4.38624938625
"texture_corrm_1",0.974148897526
"texture_corrm_2",0.972793754343
"texture_corrp_1",0.974148897526
"texture_corrp_2",0.972793754343
"texture_cprom_1",1384.92713456
"texture_cprom_2",1386.06039208
"texture_cshad_1",87.2761599257
"texture_cshad_2",86.3125016392
"texture_denth_1",1.55479338357
"texture_denth_2",1.61011084754
"texture_dissi_1",1.51413751414
"texture_dissi_2",1.5964045964
"texture_dvarh_1",3.87971387971
"texture_dvarh_2",4.38624938625
"texture_energ_1",0.555987470721
"texture_energ_2",0.555838646182
"texture_entro_1",3.86002307034
"texture_entro_2",3.83110010549
"texture_homom_1",0.94687004687
"texture_homom_2",0.947623400004
"texture_homop_1",0.945117110075
"texture_homop_2",0.945779566315
"texture_idmnc_1",0.997538449778
"texture_idmnc_2",0.99752393401
"texture_indnc_1",0.987261789127
"texture_indnc_2",0.987382509727
"texture_inf1h_1",-0.0269423279285
"texture_inf1h_2",-0.0280244660132
"texture_inf2h_1",0.975734028414
"texture_inf2h_2",0.976888820217
"texture_maxpr_1",0.735027735028
"texture_maxpr_2",0.734800734801
"texture_savgh_1",11.827048827
"texture_savgh_2",11.8228408228
"texture_senth_1",2.66294807301
"texture_senth_2",2.66783689054
"texture_sosvh_1",40.4265625669
"texture_sosvh_2",40.3688875405
"texture_svarh_1",113.423249043
"texture_svarh_2",113.385868072
